NUTS_ID,Region_LTN,Spss code,PRG,RES,INT,KNW,GDP
AT11,Burgenland,17110,-0.171230452,0.229582652,-0.192223994,-0.134812167,5720.65
AT12,Niederösterreich,17120,-0.056993744,-0.006829519,-0.187030403,0.006564457,39188.57
AT13,Wien,17130,-0.023664477,0.162178019,-0.017061755,0.162510105,67364.39
AT21,Kärnten,17210,-0.008161315,0.069832234,-0.081962608,0.124971868,14568.19
AT22,Steiermark,17220,0.022967103,-0.096461296,-0.043846991,0.051243594,32520.86
AT31,Oberösterreich,17310,-0.078179211,0.170971565,-0.139012872,-0.021483163,42531.43
AT32,Salzburg,17320,0.092611501,-0.1466217,-0.06032932,0.041569039,18295.72
AT33,Tirol,17330,-0.178784498,0.268260202,0.017462116,0.065668566,22166.1
AT34,Vorarlberg,17340,-0.389448394,0.285126603,-0.192733152,0.002511005,11611.14
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,2110,-0.099894971,0.155283255,0.064873239,0.157350956,59425.05
BE21,Prov. Antwerpen,2210,-0.095177397,0.172433538,-0.020693515,0.018911437,59819.52
BE22,Prov. Limburg (BE),2220,-0.02921862,0.103695094,-0.093942864,-0.027200234,19352.66
BE23,Prov. Oost-Vlaanderen,2230,-0.089830713,0.099324829,-0.0919247,-0.058395701,36168.57
BE24,Prov. Vlaams-Brabant,2240,-0.123526408,0.199270905,-0.088259159,0.037235521,31790.65
BE25,Prov. West-Vlaanderen,2250,-0.164425323,0.099017753,-0.065119869,-0.050477507,31442.36
BE31,Prov. Brabant Wallon,2310,-0.107790881,0.248801033,0.213325848,0.295510261,11205.35
BE32,Prov. Hainaut,2320,-0.257859845,0.020859901,-0.061707014,-0.079181671,25078.53
BE33,Prov. Liège,2330,-0.210356666,0.111753772,0.058002173,0.065409943,22407.24
BE34,Prov. Luxembourg (BE),2340,-0.260665546,0.30312103,0.019110355,0.006280289,5217.99
BE35,Prov. Namur,2350,-0.025680651,0.115288598,0.099931619,0.114947847,9395.71
BG31,Severozapaden,28310,-0.119329856,0.080099873,-0.095249609,-0.487813567,2241.67
BG32,Severen Tsentralen,28320,-0.03853501,-0.072710439,-0.198941895,-0.469877739,2279.01
BG33,Severoiztochen,28330,-0.09630382,-0.122701577,-0.175844876,-0.437262236,2672.12
BG34,Yugoiztochen,28340,0.027494032,-0.130846396,-0.260147609,-0.415457153,3268.32
BG41,Yugozapaden,28410,0.05987654,0.022517853,0.037073344,-0.239302752,9689.79
BG42,Yuzhen Tsentralen,28420,-0.054589642,-0.030507835,-0.261565005,-0.489157776,3701.74
CH01,Région lémanique,33110,-0.0296768,0.051248449,0.094345328,0.399561723,
CH02,Espace Mittelland,33120,0.029896852,0.028900105,0.092633851,0.46970842,
CH03,Nordwestschweiz,33130,0.145363616,0.092092746,0.2577638,0.458409058,
CH04,Zürich,33140,0.085757934,0.017935642,0.288705884,0.473362409,
CH05,Ostschweiz,33150,0.1341564,0.183754497,0.218800353,0.465927936,
CH06,Zentralschweiz,33160,0.07480952,0.154196311,0.248481784,0.387603498,
CH07,Ticino,33170,-0.237231056,0.005874637,-0.191456238,0.163091456,
CY00,Cyprus,16,0.072460136,-0.605919191,0.31270876,-0.207564178,15039.29
CZ01,Praha,19110,0.047730176,-0.090047505,-0.103947788,-0.040549474,26870.28
CZ02,St?ední ?echy,19120,0.04023583,-0.024179674,-0.081933843,0.144823173,11365.8
CZ03,Jihozápad,19130,0.057478897,-0.091806448,-0.096406239,0.082579459,11614.53
